"Star A", 810, 941, 608, 40, 33
"Star B", 834, 980, 699, 48, 36
"Star C", 861, 915, 684, 46, 31
"Star D", 899, 963, 669, 41, 30
"Star E", 808, 935, 634, 45, 33
"Star F", 839, 984, 690, 48, 39
"Star G", 843, 999, 641, 46, 31
"Star H", 885, 964, 660, 49, 34
"Star I", 853, 939, 631, 45, 36
"Star J", 865, 956, 655, 44, 35
"Star K", 840, 991, 648, 41, 38
"Star L", 886, 950, 605, 40, 33
"Star M", 885, 993, 698, 43, 39
"Star N", 801, 961, 689, 45, 35
"Star O", 834, 939, 614, 44, 38
"Star P", 846, 911, 619, 46, 35
"Star Q", 814, 909, 636, 49, 38
"Star R", 853, 966, 693, 43, 34
"Star S", 838, 988, 681, 44, 36
"Star T", 890, 916, 663, 41, 31
