"Star A", 836, 4, 44, 80, 11
"Star B", 993, 844, 48, 550, 88
"Star C", 558, 906, 9, 988, 91
"Star D", 384, 460, 14, 815, 64
"Star E", 814, 15, 55, 66, 49
"Star F", 186, 565, 44, 416, 16
"Star G", 509, 914, 5, 340, 0
"Star H", 368, 181, 96, 109, 34
"Star I", 408, 630, 51, 635, 68
"Star J", 164, 380, 36, 995, 49
"Star K", 631, 435, 11, 836, 88
"Star L", 49, 146, 68, 158, 95
"Star M", 939, 801, 89, 689, 53
"Star N", 548, 134, 8, 110, 45
"Star O", 616, 816, 99, 661, 33
"Star P", 81, 580, 64, 405, 96
"Star Q", 644, 993, 85, 396, 50
"Star R", 866, 83, 66, 6, 6
"Star S", 439, 894, 81, 590, 30
"Star T", 198, 351, 38, 949, 69
